decade,veracruz_despatched,vessels_at_cadiz
1710,3555062.0,12401980.0
1720,5129900.0,27616393.0
1730,9479649.0,15400040.0
1740,6222867.0,14725985.0
1750,12174996.0,89709224.0
1760,6338091.0,48709616.0
1770,14343826.0,44422073.0
