iso3,country,gdp_usd,ag_land_usd,urban_land_usd,urban_pred_free,total_land_usd,total_free_usd,ag_source,reported_land_usd,reported_urban_land_usd
MNP,Northern Mariana Islands,866000000.0,,1666367932.8641222,275447283.2487255,1666367932.8641222,275447283.2487255,missing,,
VCT,St. Vincent and the Grenadines,864566666.666667,,1663609895.099952,274870814.4872873,1663609895.099952,274870814.4872873,missing,,
STP,Sao Tome and Principe,471229484.607144,526301050.549862,906745614.514356,127580603.52741323,1433046665.064218,653881654.0772753,cwon,,
ASM,American Samoa,721000000.0,,1387357135.7910302,218467438.09933,1387357135.7910302,218467438.09933,missing,,
DMA,Dominica,528944444.444444,,1017801455.5298495,147654455.2659308,1017801455.5298495,147654455.2659308,missing,,
TON,Tonga,506571486.576395,,974751132.7184905,139800312.46278572,974751132.7184905,139800312.46278572,missing,,
FSM,"Micronesia, Fed. Sts.",372902700.0,,717543996.9497112,94894227.50954221,717543996.9497112,94894227.50954221,missing,,
PLW,Palau,258985859.375,,498343800.3784723,59841977.31982298,498343800.3784723,59841977.31982298,missing,,
MHL,Marshall Islands,241800000.0,,465274556.7743011,54864513.23970087,465274556.7743011,54864513.23970087,missing,,
KIR,Kiribati,220909306.750809,,425076425.9131546,48939555.99874846,425076425.9131546,48939555.99874846,missing,,
NRU,Naoero,124685688.161094,,239921746.46506092,23741081.52652458,239921746.46506092,23741081.52652458,missing,,
TUV,Tuvalu,52302514.9939611,,100641147.5682237,7912605.8282929305,100641147.5682237,7912605.8282929305,missing,,
