iso3,name,value,value_share,area_share,error,area_km2,density
CAF,Central African Republic,16909697148.178856,8.50406472637028e-05,0.00011885026499598716,0.3975700893649601,621841.3176624262,27192.94564044791
SOM,"Somalia, Fed. Rep.",16602104532.045782,8.349373161286222e-05,0.00021968578152428177,1.6311649662863932,484615.4495640569,34258.30634780723
LBR,Liberia,14724562725.568651,7.405137619464747e-05,0.00011750790666268605,0.5868429825505346,98211.30935613773,149927.3639879279
SWZ,Eswatini,14158320793.764458,7.120368590389237e-05,6.298437635676237e-05,-0.11543376501918834,18115.476098254334,781559.4090363873
GNB,Guinea-Bissau,10680546243.714071,5.3713591540767154e-05,6.89033596115325e-05,0.2827918900049111,36170.23539620084,295285.505519157
MNE,Montenegro,10187002172.017525,5.123150644235024e-05,6.913967892080505e-05,0.3495538921660737,13445.52885663664,757649.7942651974
SLB,Solomon Islands,9659374388.112885,4.8578010766799597e-05,0.00014690311081313583,2.0240660021743015,24735.627581355355,390504.5205076463
FJI,Fiji,8135030977.071167,4.0911927265055194e-05,9.11086689328424e-05,1.2269463949370727,19285.32429578901,421824.95105086034
SUR,Suriname,7250580230.335157,3.646393134199421e-05,0.0001555145985254058,3.264888419924847,144257.58282178856,50261.34563264036
DJI,Djibouti,6708048279.345158,3.373548104101422e-05,5.207594031919825e-05,0.5436548912963906,21880.078969574646,306582.4528637688
GRL,Greenland,5945095783.392121,2.9898512612854556e-05,0.0006553095393248374,20.917797310194416,2206878.934090405,2693.8930321714606
LSO,Lesotho,5932172269.74501,2.983351890209552e-05,4.17763892191044e-05,0.4003171853847254,27503.910409226944,215684.68561310103
BLZ,Belize,5354684214.217785,2.6929270671110412e-05,9.231946830132862e-05,2.428220148582356,22020.255961789833,243170.8434047898
GMB,"Gambia, The",5245251671.122751,2.6378922890486973e-05,3.5781579215591073e-05,0.35644580198136055,14029.24206010338,373879.9037504169
BTN,Bhutan,4728952717.891799,2.378240109712883e-05,0.00014987505608461834,5.3019312252164585,39381.76944054057,120079.74210076244
TLS,Timor-Leste,4161338667.293605,2.0927810276497772e-05,6.46485699130392e-05,2.0891225149169315,14710.50422772543,282882.12306486245
VUT,Vanuatu,1957700160.0000105,9.845480217402088e-06,4.3665693181040836e-05,3.4351003929560315,7488.972605400669,261411.04570047648
